,irs_decay_mort1,irs_decay_mort2,irs_decay_succ1,irs_decay_succ2,irs_decay_det1,irs_decay_det2
64,0.983444916,-0.022962169,-1.223396364,0.021299932,-1.728436085,-0.022962169
65,0.997951508,-0.023000533,-1.18333602,0.020854168,-1.735912694,-0.023000533
66,0.96415906,-0.021170949,-1.216620702,0.019676139,-1.76852628,-0.021170949
67,1.105709151,-0.024856591,-1.275499729,0.021533664,-1.766865619,-0.024856591
68,1.277019936,-0.025279331,-1.164138965,0.018884723,-1.826358579,-0.025279331
69,1.250345893,-0.023935918,-1.045840721,0.018940241,-1.720098122,-0.023935918
70,1.115829876,-0.024781853,-1.174205271,0.018207957,-1.675769815,-0.024781853
71,1.132927955,-0.025851318,-1.30193874,0.020840032,-1.656402212,-0.025851318
72,1.276933589,-0.023653484,-1.516223986,0.018115889,-1.730891518,-0.023653484
73,1.315094498,-0.025310367,-1.140164671,0.021005834,-1.570555484,-0.025310367
74,1.097785966,-0.024471512,-1.09958109,0.020837116,-1.641887904,-0.024471512
75,1.045343458,-0.026262329,-1.395892137,0.019211268,-1.623205574,-0.026262329
76,1.390717277,-0.023818459,-1.195306038,0.018167059,-1.710012218,-0.023818459
77,1.131830283,-0.026286821,-1.308731746,0.019579304,-1.684076887,-0.026286821
78,0.968910886,-0.024909867,-1.36646891,0.01864848,-1.613861773,-0.024909867
79,1.134952549,-0.021479069,-1.218759375,0.020456237,-1.84262646,-0.021479069
80,0.994455116,-0.023304251,-1.214344912,0.021308856,-1.647454347,-0.023304251
81,0.926040701,-0.023542989,-1.261565455,0.02175925,-1.746548373,-0.023542989
82,1.030243531,-0.029607431,-1.345277084,0.020563827,-1.734430054,-0.029607431
83,1.066150745,-0.023585585,-1.306477585,0.018799219,-1.725830988,-0.023585585
84,1.299900363,-0.024789223,-1.186138623,0.019491707,-1.769452458,-0.024789223
85,0.947319474,-0.022318015,-1.353508842,0.021942089,-1.608374604,-0.022318015
86,1.083071429,-0.024886449,-1.31163662,0.017721796,-1.673011198,-0.024886449
87,0.955582944,-0.022644765,-1.337013587,0.019901659,-1.779111544,-0.022644765
88,1.107947746,-0.024377292,-1.28412868,0.018526782,-1.690535567,-0.024377292
89,1.211760016,-0.02288372,-1.377207691,0.018039751,-1.652767355,-0.02288372
90,1.142203615,-0.024896498,-1.459277273,0.020894747,-1.740889068,-0.024896498
91,1.149170242,-0.022782512,-1.21428464,0.018259495,-1.729522121,-0.022782512
92,1.122825096,-0.027405655,-1.260136742,0.020004609,-1.725981874,-0.027405655
93,0.956439514,-0.024294248,-1.457716859,0.019114121,-1.685017748,-0.024294248
94,0.920538296,-0.023890089,-1.22175821,0.017976936,-1.68436652,-0.023890089
95,0.973400707,-0.022732515,-1.10513143,0.019049869,-1.73457828,-0.022732515
96,1.084780637,-0.024150772,-1.342566946,0.020157466,-1.797653353,-0.024150772
97,1.069542747,-0.022175383,-1.479746657,0.018619428,-1.613758922,-0.022175383
98,1.024496698,-0.023291194,-1.257702312,0.018284694,-1.753561554,-0.023291194
99,1.016353604,-0.024984635,-1.359475206,0.017846489,-1.666618276,-0.024984635
100,1.114228802,-0.023772738,-1.244025216,0.018381662,-1.668276389,-0.023772738
101,1.132900981,-0.02376434,-1.369769164,0.018124167,-1.668281649,-0.02376434
102,1.125659993,-0.026754314,-1.406546696,0.019219515,-1.694691496,-0.026754314
103,1.134258745,-0.02404668,-1.2227459,0.018117176,-1.677990772,-0.02404668
104,0.99590975,-0.02461169,-1.156570818,0.018598013,-1.793439042,-0.02461169
105,1.220403064,-0.023798507,-1.132981061,0.021231657,-1.688543053,-0.023798507
106,1.241791912,-0.024089821,-1.148053814,0.020665857,-1.616546692,-0.024089821
107,1.047287305,-0.026022371,-1.218774408,0.019600203,-1.610029285,-0.026022371
108,1.127326291,-0.025059109,-0.924077878,0.020193543,-1.656578959,-0.025059109
109,0.913503586,-0.025519753,-1.175571665,0.019045223,-1.7266266,-0.025519753
110,1.352622985,-0.024065613,-1.367278002,0.018924686,-1.686643946,-0.024065613
111,1.056527172,-0.024240794,-1.363516507,0.019348141,-1.716947745,-0.024240794
112,0.942814239,-0.02630595,-1.264163481,0.017320566,-1.815509057,-0.02630595
113,1.060029086,-0.027561791,-1.425960772,0.019262006,-1.762433853,-0.027561791
114,0.986038072,-0.023299389,-1.296103636,0.019442724,-1.503391786,-0.023299389
115,1.27607761,-0.024735513,-1.453311697,0.020855915,-1.710464167,-0.024735513
116,1.067857133,-0.026211265,-1.076396517,0.018374639,-1.700915162,-0.026211265
117,1.004512557,-0.024975254,-1.241568834,0.022409455,-1.704789067,-0.024975254
118,1.068725552,-0.026642361,-1.277427722,0.019513517,-1.733906063,-0.026642361
119,1.076854094,-0.024793378,-1.313844537,0.020321938,-1.73089389,-0.024793378
120,0.91035415,-0.026789442,-1.208781994,0.02146004,-1.762373713,-0.026789442
121,0.974591733,-0.025029739,-1.244645834,0.01963932,-1.689670538,-0.025029739
122,0.858664144,-0.025348229,-1.125593748,0.020534283,-1.793872336,-0.025348229
123,1.161248069,-0.023981224,-1.444510676,0.019705162,-1.706295946,-0.023981224
124,1.024829699,-0.026458075,-1.309101469,0.020319742,-1.598061433,-0.026458075
125,1.10704515,-0.023720167,-1.140425496,0.019350419,-1.634328729,-0.023720167
126,1.029990808,-0.024852769,-1.250432539,0.019570924,-1.651472322,-0.024852769
127,1.138613963,-0.02400574,-1.46711484,0.017880722,-1.677445453,-0.02400574
128,1.01554216,-0.026133322,-1.194128776,0.020116875,-1.712977262,-0.026133322
129,1.228190253,-0.023610493,-1.200941567,0.023076674,-1.830921028,-0.023610493
130,0.853170559,-0.022300182,-1.306531139,0.018940674,-1.566930822,-0.022300182
131,0.929645876,-0.024316314,-1.284048291,0.018278307,-1.73911406,-0.024316314
132,1.315179929,-0.024360804,-1.164625024,0.018236006,-1.75013859,-0.024360804
133,1.166897414,-0.022835278,-1.284105256,0.02149758,-1.625051425,-0.022835278
134,1.028248081,-0.025669587,-1.360529466,0.018644236,-1.717953847,-0.025669587
135,1.016585263,-0.024339714,-1.32008606,0.017318453,-1.659705867,-0.024339714
136,1.053796734,-0.024753209,-1.389546343,0.019890801,-1.623434545,-0.024753209
137,1.134912374,-0.021118278,-1.289314889,0.02040687,-1.745432004,-0.021118278
138,0.989792913,-0.025774874,-1.346365171,0.016592652,-1.6578418,-0.025774874
139,1.108736655,-0.022945535,-1.208096393,0.020200876,-1.671274848,-0.022945535
140,1.312684446,-0.028007735,-1.234867091,0.019668399,-1.720800983,-0.028007735
141,1.050941733,-0.026678516,-1.285860398,0.020226317,-1.607178685,-0.026678516
142,1.164642899,-0.023544269,-1.259145786,0.020847372,-1.718988113,-0.023544269
143,0.870324731,-0.023102846,-1.205139801,0.019174008,-1.810572275,-0.023102846
144,0.932679212,-0.023210814,-1.341904293,0.01977636,-1.647125261,-0.023210814
145,1.113567584,-0.022675251,-1.188776577,0.019880288,-1.729746742,-0.022675251
146,1.210266196,-0.02407772,-1.24189823,0.018346441,-1.609645331,-0.02407772
147,1.086861004,-0.025597892,-1.252738586,0.02021386,-1.707274268,-0.025597892
148,0.982807312,-0.022611665,-1.364053795,0.019428547,-1.82218011,-0.022611665
149,1.149515588,-0.022635109,-1.320491544,0.020051905,-1.659258053,-0.022635109
150,1.230318871,-0.026178936,-1.137382103,0.018197273,-1.679653512,-0.026178936
151,1.059019844,-0.023107404,-1.264040826,0.019541873,-1.729374325,-0.023107404
152,1.08443816,-0.022932835,-1.476421118,0.017938835,-1.795635056,-0.022932835
153,1.113643058,-0.025710489,-1.374960782,0.019371114,-1.708465198,-0.025710489
154,1.284409384,-0.023870239,-1.554782475,0.02143845,-1.725093668,-0.023870239
155,1.056214379,-0.025311937,-1.215493041,0.017764007,-1.793961778,-0.025311937
156,0.96790943,-0.026856449,-1.183405353,0.019078232,-1.805774735,-0.026856449
157,1.038023338,-0.025252796,-1.042317978,0.018103718,-1.671325826,-0.025252796
158,1.080126864,-0.023130249,-1.439785143,0.020084643,-1.640821744,-0.023130249
159,1.178367765,-0.027211985,-1.268902466,0.021777856,-1.707372587,-0.027211985
160,1.07386732,-0.026715976,-1.200236282,0.018192449,-1.621479056,-0.026715976
161,1.194685601,-0.02885685,-1.204415537,0.01974301,-1.722444907,-0.02885685
162,1.221278741,-0.024729217,-1.243382322,0.023201815,-1.664171832,-0.024729217
163,1.229613922,-0.022188839,-1.425601329,0.020739748,-1.752690514,-0.022188839
164,0.981582837,-0.023479095,-1.25781034,0.020681974,-1.705895964,-0.023479095
165,1.182323331,-0.024516347,-1.338568543,0.0193377,-1.633575884,-0.024516347
166,0.981608817,-0.023182939,-1.251606177,0.017748595,-1.736913742,-0.023182939
167,1.14647017,-0.026131087,-1.19220567,0.02029414,-1.645132375,-0.026131087
168,0.976613736,-0.025468308,-1.438952916,0.021312199,-1.694926655,-0.025468308
169,1.179349891,-0.022286922,-1.327383147,0.018921023,-1.771179422,-0.022286922
170,1.059389088,-0.021381086,-1.296472108,0.019268774,-1.697081424,-0.021381086
171,1.079769466,-0.023608913,-1.281937017,0.021693409,-1.737359187,-0.023608913
172,1.063634055,-0.028222682,-1.309967713,0.01820818,-1.711461612,-0.028222682
173,1.09218776,-0.021650212,-1.139769469,0.019932535,-1.58025614,-0.021650212
174,1.238139714,-0.026328187,-1.489692907,0.019639341,-1.706906892,-0.026328187
175,1.220078247,-0.025076866,-1.351447772,0.018522847,-1.589836719,-0.025076866
176,1.007647748,-0.023271426,-1.341595872,0.02272195,-1.636036431,-0.023271426
