PI,Intervention,time0_measured_mean,time0_measured_min,time0_measured_max,Obs_mean_eff,eff_obs_min,eff_obs_max,Pred_1_eff,Pred_1_eff_min,Pred_1_eff_max,Pred_2_eff,Pred_2_eff_min,Pred_2_eff_max,Pred_3_eff,Pred_3_eff_min,Pred_3_eff_max,Pred_4_eff,Pred_4_eff_min,Pred_4_eff_max,Pred_5_eff,Pred_5_eff_min,Pred_5_eff_max,Pred_6_eff,Pred_6_eff_min,Pred_6_eff_max,intvn_colour,study_order,study_colour,study_symbol,time_months,location,Intervention,country,reps
Protopopoff,ITN,0.68,0.68,0.68,0.047058824,0.047058824,0.047058824,-0.011430882,-0.046284412,0.036663382,0.033204412,-0.0057375,0.089264412,0.003097794,-0.033222022,0.053545919,0.037538971,-0.003219596,0.095968419,-0.0120125,-0.045944007,0.037541985,-0.010358824,-0.044889559,0.035089485,darkred,9,green,8,33,East,ITN,Tanzania,24
West,ITN,0.246,0.17,0.343,0.06504065,-0.390243902,0.37398374,-0.186979675,-0.27908252,-0.085740447,0.092495935,0.009787907,0.181283232,-0.010876016,-0.103576423,0.088573272,0.098020325,0.016991159,0.182175203,-0.237810976,-0.337582927,-0.059372053,-0.121067073,-0.205372053,-0.019256707,darkred,10,gold2,9,11,East,ITN,Tanzania,25
West,ITN,0.246,0.17,0.343,-0.219512195,-0.764227642,0.178861789,-0.297162602,-0.392081707,-0.185820427,-0.063865854,-0.153433232,0.023894207,-0.152065041,-0.245112602,-0.056823577,-0.059166667,-0.151878862,0.022479065,-0.330941057,-0.43255752,-0.192163313,-0.247845528,-0.330260366,-0.148019207,darkred,10,gold2,9,15,East,ITN,Tanzania,25
West,ITN,0.246,0.17,0.343,0.024390244,-0.581300813,0.422764228,-0.077802846,-0.159564939,0.012875711,0.086601626,0.007591667,0.162634045,0.020558943,-0.06057561,0.103561077,0.08901626,0.010175813,0.169001118,-0.098164634,-0.1877375,0.007133638,-0.04777439,-0.119750711,0.04319685,darkred,10,gold2,9,19,East,ITN,Tanzania,25
Chaccour,ITN,0.44,0.44,0.44,0.022727273,0.022727273,0.022727273,0.086431818,0.003986818,0.281879432,0.086740909,-0.000544432,0.266152614,0.089363636,0.002850909,0.26868875,0.088252273,0.000435,0.277284773,0.088906818,0.001927614,0.266664773,0.087568182,0.001040227,0.242361023,darkred,11,grey,10,17,East,ITN,Mozambique,26
Staedke,ITN,0.237,0.128,0.42,0.388185654,0.388185654,0.388185654,0.174660338,0.020650422,0.345032278,0.396147679,0.277800844,0.525137553,0.258877637,0.10906097,0.414914873,0.421683544,0.311565295,0.541967827,0.093135021,-0.067876371,0.267842089,0.292101266,0.155317616,0.441199789,darkred,12,aquamarine1,11,12,East,ITN,Uganda,27
Staedke,ITN,0.237,0.128,0.42,0.451476793,0.451476793,0.451476793,0.107805907,-0.058329958,0.294364768,0.498276371,0.377765612,0.620211042,0.260196203,0.091147679,0.431154958,0.524097046,0.408345992,0.636208038,0.020626582,-0.149381435,0.199397152,0.221261603,0.062569093,0.3934173,darkred,12,aquamarine1,11,18,East,ITN,Uganda,27
Staedke,ITN,0.237,0.128,0.42,0.4092827,0.4092827,0.4092827,0.012255274,-0.149086287,0.204656435,0.417900844,0.27329789,0.570444937,0.165223629,-0.012229852,0.354646519,0.441097046,0.299929008,0.58206503,-0.040742616,-0.20810538,0.146880802,0.083795359,-0.079525844,0.264803692,darkred,12,aquamarine1,11,24,East,ITN,Uganda,27
Bradley,ITN_IRS,0.184,0.127,0.259,-0.260869565,-0.755434783,0.130434783,0.229027174,0.097121332,0.377493207,0.231220109,0.110633696,0.372523641,0.230008152,0.114263587,0.368389402,0.233964674,0.100113995,0.376453125,0.230002717,0.092736957,0.372855027,0.232970109,0.106400679,0.36263356,aquamarine3,14,pink,13,3,West,ITN + ben-IRS,"Bioko, Eq.Guinea",29
Protopopoff,ITN_IRS,0.67,0.67,0.67,0.423880597,0.423880597,0.423880597,0.211587313,0.178176082,0.249136455,0.26856791,0.231370933,0.30686459,0.238402985,0.201393843,0.275977948,0.249197015,0.209879216,0.294594478,0.207614925,0.176699851,0.243228284,0.193090299,0.149904254,0.241614851,aquamarine3,9,green,8,4,East,ITN + op-IRS,Tanzania,30
Protopopoff,ITN_IRS,0.67,0.67,0.67,0.605970149,0.605970149,0.605970149,0.554508209,0.514516828,0.593327537,0.596985821,0.558065037,0.633213209,0.579380597,0.540848694,0.615974851,0.565090299,0.516432687,0.606339478,0.558507463,0.521581231,0.594696716,0.519619403,0.470492164,0.570076157,aquamarine3,9,green,8,9,East,ITN + op-IRS,Tanzania,30
Protopopoff,ITN_IRS,0.67,0.67,0.67,0.404477612,0.404477612,0.404477612,-0.078354478,-0.115293246,-0.030805858,0.026347761,-0.025807015,0.090855784,-0.042484328,-0.085970597,0.012829142,0.033258955,-0.019586791,0.098052649,-0.083984328,-0.11738959,-0.039121567,-0.071908209,-0.109245746,-0.025698918,aquamarine3,9,green,8,16,East,ITN + op-IRS,Tanzania,30
Protopopoff,ITN_IRS,0.67,0.67,0.67,0.17761194,0.17761194,0.17761194,0.019809701,-0.019251828,0.06855791,0.119764925,0.072576306,0.177276343,0.056102239,0.011984104,0.105997351,0.12929403,0.077484366,0.186417687,0.015216418,-0.022164515,0.061337351,0.02623806,-0.012159701,0.075240037,aquamarine3,9,green,8,21,East,ITN + op-IRS,Tanzania,30
Kafy,ITN_IRS,0.1,0.1,0.1,0.6,0.8,0.3,0.712267,0.61425325,0.7933435,0.712419,0.60968972,0.79853827,0.7106955,0.6089797,0.79451027,0.7137915,0.6046123,0.7941614,0.7117205,0.61239882,0.7996265,0.708854,0.60843242,0.79325782,aquamarine3,5,blue,5,21,,ITN + pyr/ben-IRS,Sudan,31
Kafy,ITN_IRS,0.1,0.1,0.1,0.7,0.8,0.5,0.8703565,0.79373677,0.9259185,0.8699095,0.8015155,0.92605458,0.868785,0.7846664,0.92921424,0.8709775,0.79016542,0.92440052,0.8684965,0.79591822,0.92966039,0.8687755,0.79715887,0.92807692,aquamarine3,5,blue,5,33,,ITN + pyr/ben-IRS,Sudan,31
