ID,PI,control_arm_intervention,Intervention,Month,Obs_mean_eff,eff_obs_min,eff_obs_max,Pred_1_eff,Pred_1_eff_min,Pred_1_eff_max,Pred_2_eff,Pred_2_eff_min,Pred_2_eff_max,Pred_3_eff,Pred_3_eff_min,Pred_3_eff_max,Pred_4_eff,Pred_4_eff_min,Pred_4_eff_max,Pred_5_eff,Pred_5_eff_min,Pred_5_eff_max,Pred_6_eff,Pred_6_eff_min,Pred_6_eff_max,study,study_col,intervention_symbol,col_rel_prev_month,study_symb,reps,arm,intn_col,location,new_order,country
46,Staedke,ITN,PBO-ITN,24,0.157142857,0.157142857,0.157142857,0.163056057,-0.000276322,0.344424283,0.09717874,-0.058664177,0.270582476,0.105905316,-0.065999899,0.293785449,0.374800651,0.164293582,0.569682319,0.563380143,0.424504036,0.703837817,-0.051254683,-0.346249417,0.237251177,Staedke,aquamarine1,8,darkblue,11,17,1,blue,East,41,Uganda
34,Protopopoff,ITN,PBO-ITN + op-IRS,4,0.324324324,0.324324324,0.324324324,0.449034447,0.388044227,0.541314326,0.454775264,0.396454409,0.544831006,0.376275882,0.302856058,0.482512491,0.394078964,0.327780642,0.493732883,0.449857766,0.388202037,0.538732822,0.344619334,0.270485454,0.453788431,Protopopoff,green,8,grey,8,18,3,purple,East,42,Tanzania
35,Protopopoff,ITN,PBO-ITN + op-IRS,9,0.482820976,0.482820976,0.482820976,0.664951683,0.607666877,0.736897915,0.673681062,0.618621876,0.739420232,0.607363649,0.536319132,0.695751172,0.621127527,0.559438626,0.694505986,0.663670696,0.605996473,0.731657922,0.579320622,0.509673466,0.664929625,Protopopoff,green,8,lightgreen,8,18,3,purple,East,43,Tanzania
36,Protopopoff,ITN,PBO-ITN + op-IRS,16,0.450943396,0.450943396,0.450943396,0.25234523,0.152674575,0.428056447,0.249734457,0.152639753,0.419300718,0.244199621,0.147556969,0.413262033,0.406835861,0.268162671,0.60223725,0.322734713,0.202149892,0.503664356,0.378707033,0.243154541,0.569725172,Protopopoff,green,8,darkgreen,8,18,3,purple,East,44,Tanzania
37,Protopopoff,ITN,PBO-ITN + op-IRS,21,0.357352941,0.357352941,0.357352941,0.199986309,0.109537776,0.34934603,0.198743598,0.108677131,0.34559532,0.201341277,0.108676123,0.349462799,0.302078425,0.174664025,0.491437801,0.242962653,0.137709651,0.40755478,0.28773707,0.161923071,0.471687864,Protopopoff,green,8,darkblue,8,18,3,purple,East,45,Tanzania
50,Bradley,ITN + pyr-IRS,ITN + pyr/ben-IRS,3,0.275862069,-0.064655172,0.521551724,-0.101170881,-0.283517613,0.090823811,0.160199605,-0.054367428,0.384217353,-0.121020169,-0.289079489,0.085528064,-0.11202463,-0.273514285,0.091312109,-0.114763355,-0.290345748,0.089226312,-0.117583833,-0.299407771,0.075507714,Bradley,pink,19,grey,13,19,1,aquamarine3,West,48,"Bioko, Eq.Guinea"
51,Protopopoff,PBO-ITN,PBO-ITN + op-IRS,4,0.18122271,0.18122271,0.18122271,0.31740888,0.241848113,0.4317344,0.335904,0.26486791,0.52463145,0.2838298,0.19952791,0.4058124,0.172543,0.0820048,0.3086323,0.2460377,0.16153938,0.3678397,0.1719739,0.07831108,0.3099011,Protopopoff,green,8,darkgreen,8,20,3,purple,East,49,Tanzania
52,Protopopoff,PBO-ITN,PBO-ITN + op-IRS,9,0.08038585,0.08038585,0.08038585,0.58050555,0.508782585,0.6705852,0.5932599,0.1986078,0.1238621,0.5358185,0.4518284,0.6403117,0.4141333,0.31874112,0.5276015,0.5142386,0.43093959,0.61124328,0.4076036,0.30952722,0.5281573,Protopopoff,green,8,darkgreen,8,20,3,purple,East,50,Tanzania
53,Protopopoff,PBO-ITN,PBO-ITN + op-IRS,16,0.1637931,0.1637931,0.1637931,0.20110214,0.094600213,0.3888563,0.52463145,0.09489656,0.02537846,0.1957368,0.09289735,0.37565397,0.3009911,0.13757294,0.5312601,0.2475764,0.11360986,0.4485844,0.2830057,0.12657322,0.5034474,Protopopoff,green,8,darkgreen,8,20,3,purple,East,51,Tanzania
54,Protopopoff,PBO-ITN,PBO-ITN + op-IRS,21,0.04793028,0.04793028,0.04793028,0.12511254,0.026198876,0.2884509,0.6752005,0.3797291,0.2844379,0.1252756,0.02378489,0.2875045,0.1731877,0.02224266,0.3975176,0.1431663,0.02403836,0.3294558,0.1683029,0.0213921,0.3830991,Protopopoff,green,8,darkgreen,8,20,3,purple,East,52,Tanzania
